Número do Quarto, Tipo de Quarto, Preço por Noite
101, Standard Single, 100.00
102, Standard Double, 150.00
103, Standard Twin, 150.00
104, Deluxe Single, 200.00
105, Deluxe Double, 250.00
106, Deluxe Twin, 250.00
107, Suíte Executiva, 350.00
108, Suíte Presidencial, 500.00
109, Standard Single, 100.00
110, Standard Double, 150.00
111, Standard Twin, 150.00
112, Deluxe Single, 200.00
113, Deluxe Double, 250.00
114, Deluxe Twin, 250.00
115, Suíte Executiva, 350.00
116, Suíte Presidencial, 500.00
117, Standard Single, 100.00
118, Standard Double, 150.00
119, Standard Twin, 150.00
120, Deluxe Single, 200.00
121, Deluxe Double, 250.00
122, Deluxe Twin, 250.00
123, Suíte Executiva, 350.00
124, Suíte Presidencial, 500.00
125, Standard Single, 100.00
126, Standard Double, 150.00
127, Standard Twin, 150.00
128, Deluxe Single, 200.00
129, Deluxe Double, 250.00
130, Deluxe Twin, 250.00
131, Suíte Executiva, 350.00
132, Suíte Presidencial, 500.00
133, Standard Single, 100.00
134, Standard Double, 150.00
135, Standard Twin, 150.00
136, Deluxe Single, 200.00
137, Deluxe Double, 250.00
138, Deluxe Twin, 250.00
139, Suíte Executiva, 350.00
140, Suíte Presidencial, 500.00
141, Standard Single, 100.00
142, Standard Double, 150.00
143, Standard Twin, 150.00
144, Deluxe Single, 200.00
145, Deluxe Double, 250.00
146, Deluxe Twin, 250.00
147, Suíte Executiva, 350.00
148, Suíte Presidencial, 500.00
149, Standard Single, 100.00
150, Standard Double, 150.00
151, Standard Twin, 150.00
152, Deluxe Single, 200.00
153, Deluxe Double, 250.00
154, Deluxe Twin, 250.00
155, Suíte Executiva, 350.00
156, Suíte Presidencial, 500.00
157, Standard Single, 100.00
158, Standard Double, 150.00
159, Standard Twin, 150.00
160, Deluxe Single, 200.00
161, Deluxe Double, 250.00
162, Deluxe Twin, 250.00
163, Suíte Executiva, 350.00
164, Suíte Presidencial, 500.00
165, Standard Single, 100.00
166, Standard Double, 150.00
167, Standard Twin, 150.00
168, Deluxe Single, 200.00
169, Deluxe Double, 250.00
170, Deluxe Twin, 250.00
171, Suíte Executiva, 350.00
172, Suíte Presidencial, 500.00
173, Standard Single, 100.00
174, Standard Double, 150.00
175, Standard Twin, 150.00
176, Deluxe Single, 200.00
177, Deluxe Double, 250.00
178, Deluxe Twin, 250.00
179, Suíte Executiva, 350.00
180, Suíte Presidencial, 500.00
